repo,sha,author,date,message,additions,deletions,total_changes,url
keras-team/keras,48ff69b5fb324dcccc1c1920cacace7d1c923624,dependabot[bot],2025-11-06 00:38:37+00:00,"Bump the github-actions group with 4 updates (#21809)

Bumps the github-actions group with 4 updates: [actions/checkout](https://github.com/actions/checkout), [actions/setup-python](https://github.com/actions/setup-python), [actions/upload-artifact](https://github.com/actions/upload-artifact) and [github/codeql-action](https://github.com/github/codeql-action).


Updates `actions/checkout` from 4 to 5
- [Release notes](https://github.com/actions/checkout/releases)
- [Commits](https://github.com/actions/checkout/compare/v4...v5)

Updates `actions/setup-python` from 5 to 6
- [Release notes](https://github.com/actions/setup-python/releases)
- [Commits](https://github.com/actions/setup-python/compare/v5...v6)

Updates `actions/upload-artifact` from 4.6.2 to 5.0.0
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/ea165f8d65b6e75b540449e92b4886f43607fa02...330a01c490aca151604b8cf639adc76d48f6c5d4)

Updates `github/codeql-action` from 3.30.5 to 4.31.2
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/3599b3baa15b485a2e49ef411a7a4bb2452e7f93...0499de31b99561a6d14a36a5f662c2a54f91beee)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-version: '5'
  dependency-type: direct:production
  update-type: version-update:semver-major
  dependency-group: github-actions
- dependency-name: actions/setup-python
  dependency-version: '6'
  dependency-type: direct:production
  update-type: version-update:semver-major
  dependency-group: github-actions
- dependency-name: actions/upload-artifact
  dependency-version: 5.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
  dependency-group: github-actions
- dependency-name: github/codeql-action
  dependency-version: 4.31.2
  dependency-type: direct:production
  update-type: version-update:semver-major
  dependency-group: github-actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",4,4,8,https://github.com/keras-team/keras/commit/48ff69b5fb324dcccc1c1920cacace7d1c923624
keras-team/keras,ffa14d21d6aaf5b360cad0b8384b40c952074e24,arunthakur009,2025-11-05 21:17:15+00:00,"Added  numpy.digitize support for OPENVINO backend  (#21824)

* Added openvino support for numpy.digitize

* Minor changes

* Added the AI suggested Changes",24,5,29,https://github.com/keras-team/keras/commit/ffa14d21d6aaf5b360cad0b8384b40c952074e24
keras-team/keras,cdf9eed0d4b8273832081609283a5baf8c59766a,hertschuh,2025-11-05 21:16:38+00:00,"Add missing `convert_to_tensor` to `take_along_axis` on JAX. (#21825)

This is necessary to support variables in a jitted context.",2,0,2,https://github.com/keras-team/keras/commit/cdf9eed0d4b8273832081609283a5baf8c59766a
keras-team/keras,4f3c60fabb809ed8d62caad027a24d74f8f18c95,shashaka,2025-11-03 23:11:27+00:00,Fix broken example indentation in Keras io (#21807),8,8,16,https://github.com/keras-team/keras/commit/4f3c60fabb809ed8d62caad027a24d74f8f18c95
keras-team/keras,45909f972eb41d18b9314b33354b7e068c6581a7,Mithil27360,2025-11-03 23:10:00+00:00,Fix(backend/torch): Resolve MPS broadcast crash in binary_crossentropy (#21816),14,0,14,https://github.com/keras-team/keras/commit/45909f972eb41d18b9314b33354b7e068c6581a7
keras-team/keras,47d1cba8ece3cd0776d95e8007dbd0ad5a8c641a,wenyi-guo,2025-11-03 21:29:21+00:00,"Pass optional field in a few places to fix None input error. (#21818)

* Pass optional field in a few places to fix None input error.

* format

* Fix gemini suggestion

* resolve comments",11,0,11,https://github.com/keras-team/keras/commit/47d1cba8ece3cd0776d95e8007dbd0ad5a8c641a
keras-team/keras,664b8b6eab0bd180fbba59f48b0f13f760699cce,danielenricocahall,2025-11-03 17:18:34+00:00,"Fix bug with correlate for tensorflow (#21778)

* fix correlate bug

* fix correlate function

* add pydoc

* Update keras/src/backend/tensorflow/numpy.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* comment, and remove recursion

* address comments around shape_op and test

* explicit about which axes to squeeze

* fix max call

* fix `max` call

---------

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>",48,21,69,https://github.com/keras-team/keras/commit/664b8b6eab0bd180fbba59f48b0f13f760699cce
keras-team/keras,6d06085d435e10846fe88c85053b36ae6b992462,danielenricocahall,2025-10-31 02:33:05+00:00,"Address bug with convolution using Tensorflow, Numpy, Jax backends (#21796)

* add exception

* Update keras/src/backend/tensorflow/nn.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* Update keras/src/layers/convolutional/conv_test.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* address numpy + make test more generic

* fix jax

* fix pydocs

* fix error msg in tensorflow

* handle only static case

---------

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>",41,3,44,https://github.com/keras-team/keras/commit/6d06085d435e10846fe88c85053b36ae6b992462
keras-team/keras,3973b153494d33f6289b38804f7b896b50748429,wenyi-guo,2025-10-31 02:32:47+00:00,"Support scalar view for tf backend. (#21802)

* Support scalar view for tf backend.

* update last dim",15,3,18,https://github.com/keras-team/keras/commit/3973b153494d33f6289b38804f7b896b50748429
keras-team/keras,72dfa367dfa11837cbf70b37f174eda19e1a111f,danielenricocahall,2025-10-31 02:16:31+00:00,"More OpenVINO Operations (#21774)

* additional ov ops

* std/var returning correct results, albeit as f64

* chore: pydocs

* chore: pydocs

* chore: pydocs

* Update keras/src/backend/openvino/numpy.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* fix heaviside

* use broadcast instead of multiply

---------

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>",38,54,92,https://github.com/keras-team/keras/commit/72dfa367dfa11837cbf70b37f174eda19e1a111f
keras-team/keras,08f102dc302afbd6b8fed71970240f716bfafe81,MalyalaKarthik66,2025-10-30 22:09:49+00:00,"Add backend compatibility table to documentation (#21733)

* Add backend compatibility table to documentation

* Remove redundant section and add OpenVINO version to compatibility table",11,0,11,https://github.com/keras-team/keras/commit/08f102dc302afbd6b8fed71970240f716bfafe81
keras-team/keras,a0004ee0eb48b5a8bd05e772c1715dca948afd52,GaetanLepage,2025-10-30 21:32:50+00:00,"Fix: use raw string for CALIBRATION_TEXT (#21790)

This avoids `SyntaxError: invalid escape sequence '\h`",1,1,2,https://github.com/keras-team/keras/commit/a0004ee0eb48b5a8bd05e772c1715dca948afd52
keras-team/keras,d662ac7db416d99511fdfb3a1f823bf797af260d,buildwithsuhana,2025-10-30 04:43:25+00:00,"Adding get_device_count function to the distribution_lib (#21791)

* adding get_device_count

* adding tests

* fixed docstring for get_device_count",40,2,42,https://github.com/keras-team/keras/commit/d662ac7db416d99511fdfb3a1f823bf797af260d
keras-team/keras,1519bccf3245ee9df63b0b24dde2b064a9482c72,buildwithsuhana,2025-10-30 04:00:18+00:00,"Add keras.ops.array_split for Tensor Parallelism Support (#21697)

* Added tensor parallel for keras (Part 1/3)

* Removed unnecessary lines

* Fixes suggested by Gemini

* Fixes suggested by Gemini

* Fixes suggested by Gemini

* Fixes suggested by Gemini

* Fixes suggested by Gemini

* Fixes suggested by Gemini

* Fixing the failing test

* Fixing the failing test

* Fixing test

* Adding tests for distributed_backends

* Modifications for failing tests

* Modified for failing test

* Modified for failing test

* Modified for failing test

* added debuggers

* removed debuggers

* Removed the tensorflow, numpy and torch backends

* Refactoring the code

* Refactoring the code

* refactoring

* Adding necessary docstrings

* Removing redundancies

* Modifying tests

* Reformatting

* Reformatting the code

* Fixing failing tests

* fixes

* Fixing tests

* formatting

* fixing test

* fixing test

* Removing redundant lines

* Refactoring to remove communications.py and state_action_keras.py

* formatting the files

* fixing skip issues

* fixing test

* fixing test

* refactoring to remove distributed backend wrapper

* fixing test

* making distrubed backend more jax friendly

* Fixing comments

* Fixing comments

* Fixing comments

* fixes

* Refactor

* refactoring to resolve comments

* fixes

* fixes

* fix

* fix

* removing get_best_devices

* fixing comments

* fixing merge conflict

* modifying variable name

* Fixes

* fix

* fix

* splitting into 3 PRs

* Modified array_split implementation in openvino, tensorflow and torch

* formatting the array split function

* adding test for uneven array split

* fixing test",215,0,215,https://github.com/keras-team/keras/commit/1519bccf3245ee9df63b0b24dde2b064a9482c72
keras-team/keras,cf94cdce1d0de09be7277da8b003fc3c484a7621,mattjj,2025-10-29 18:34:32+00:00,"update test after jax.config.jax_vjp3 is enabled (#21776)

* update test after jax.config.jax_vjp3 is enabled

Co-authored-by: Yash Katariya <yashkatariya@google.com>

* Address Fabien's comment

---------

Co-authored-by: Yash Katariya <yashkatariya@google.com>
Co-authored-by: Matt Watson <mattdangerw@gmail.com>",3,4,7,https://github.com/keras-team/keras/commit/cf94cdce1d0de09be7277da8b003fc3c484a7621
keras-team/keras,afb1cb1ce297c8981d00df0f40da616ecea7559e,hertschuh,2025-10-29 00:43:50+00:00,"Fix tf dataset detection logic. (#21794)

In some contexts, matching the begining of the module name won't work, we need to match the tensorflow module in any part of the module name.

This was already done in other contexts:

https://github.com/keras-team/keras/blob/0512fdb3c70c6ef5499615793e40d5ad46f3b301/keras/src/trainers/data_adapters/data_adapter_utils.py#L307",6,2,8,https://github.com/keras-team/keras/commit/afb1cb1ce297c8981d00df0f40da616ecea7559e
keras-team/keras,0512fdb3c70c6ef5499615793e40d5ad46f3b301,utsab345,2025-10-28 21:55:06+00:00,"Fix: Support 'jpg' format in keras.utils.save_img() (#21683)

* Fix save_img(): support 'jpg' format and handle RGBA

* Fix save_img: support 'jpg' format (normalize to JPEG) and add tests

* Fix save_img: normalize jpg→jpeg, handle RGBA→RGB, and improve tests

* Regenerate API directory

* Add save_img to image_utils.py and integration tests for JPG/RGBA handling

* style: fix formatting with format.sh

* Simplify save_img: remove _format, normalize jpg→jpeg, add RGBA→RGB handling and tests

* Simplify save_img: remove _format, normalize jpg→jpeg, add RGBA→RGB handling and tests

* Simplify save_img: remove _format, normalize jpg→jpeg, add RGBA→RGB handling and tests

* fix: use save_format variable to avoid modifying file_format parameter

* fix: handle .jpg format without renaming file, improve tests

* Move save_img tests to unit tests and convert to Keras TestCase

* Move save_img tests to unit tests and convert to Keras TestCase

* Move save_img tests to unit tests and convert to Keras TestCase

* Move save_img tests to unit tests and convert to Keras TestCase

* fix: simplify file format handling and add inferred format test

* fix: simplify file format handling and add inferred format test

* fix: simplify file format handling and add inferred format test",50,2,52,https://github.com/keras-team/keras/commit/0512fdb3c70c6ef5499615793e40d5ad46f3b301
keras-team/keras,3882d1dce3b54a1f97900ac2ca31b18489a3109e,fchollet,2025-10-28 18:52:35+00:00,"Update Keras backend installation instructions

Clarify backend installation requirements for Keras.",2,3,5,https://github.com/keras-team/keras/commit/3882d1dce3b54a1f97900ac2ca31b18489a3109e
keras-team/keras,960133e97d56d3715b747e4e55614bcc4c8f6fda,hertschuh,2025-10-27 21:06:26+00:00,"Don't fail `Variable.__repr__` if the value cannot be retrieved. (#21788)

Under some conditions, converting the variable value to numpy may fail. We don't want to fail `__repr__` in this case. I my example, this was preventing this exception from being raised and osbcuring the real issue:

https://github.com/keras-team/keras/blob/master/keras/src/backend/common/variables.py#L281-L288

Additionally, the exception was not reporting the shape used for comparison (`self.shape`).",6,2,8,https://github.com/keras-team/keras/commit/960133e97d56d3715b747e4e55614bcc4c8f6fda
keras-team/keras,adbfd13426a0da9864d9a0fcd5be5eed74ca341f,hertschuh,2025-10-27 19:10:16+00:00,"Add warning to `set_backend` and more detailed example. (#21787)

Addressing comments from https://github.com/keras-team/keras/pull/21764",31,9,40,https://github.com/keras-team/keras/commit/adbfd13426a0da9864d9a0fcd5be5eed74ca341f
keras-team/keras,70598b7903314f7ceace49264de97f1ee91230a8,fchollet,2025-10-27 18:29:23+00:00,Fix typo in Distiller docstring,1,1,2,https://github.com/keras-team/keras/commit/70598b7903314f7ceace49264de97f1ee91230a8
keras-team/keras,eecd34f406709e6ce44c5d94be32d8d81c7fe13d,SamKnightGit,2025-10-27 03:15:31+00:00,"Fix: `keras.ops.quantile` works with tf graph execution (#21782)

A `deque` failing to be converted to a tensor in the
transpose call in `keras.ops.quantile` caused errors
when running in tf graph contexts. By constructing a
list from the deque before passing it to the `transpose`
call we avoid this error.",19,1,20,https://github.com/keras-team/keras/commit/eecd34f406709e6ce44c5d94be32d8d81c7fe13d
keras-team/keras,c2bc6cfcc79d958d2e5a9bc0c829486d5a7fd0ac,wenyi-guo,2025-10-25 20:25:08+00:00,"Suport keras.op.view() to view the same data bitwise at a new dtype  (#21763)

* Support view() in keras to view an array at different dtype.

* Update comment with correct view example.

* resolve gemini code assist comments

* Format lint.

* fix lint error and add openvino backend code, which we don't implement at this time.

* Add default None to key args of view() to passun-implemented openvino tests.

* remove print

* skip openvino

* Add jax x64 test with enabling x64.

* resolve comments

* restructure test

* format

* fix format

* skip openvino tests

* fix openvino sig

* resolve comments

* reformat

* simplify test

* resolve comments convert_to_tensor for all backends

* resolve comment simplify return line",209,0,209,https://github.com/keras-team/keras/commit/c2bc6cfcc79d958d2e5a9bc0c829486d5a7fd0ac
keras-team/keras,10b51ce5a5054eb9bcddfab405ac9075fb1f1ca7,hertschuh,2025-10-24 23:11:45+00:00,"Make confusion metrics compilable. (#21775)

By removing the use of `ops.nonzero` which returns an array of non-predetermined size.

Follow-up to https://github.com/keras-team/keras/pull/21765/files#r2462099871

Fixes https://github.com/keras-team/keras/issues/19376",7,12,19,https://github.com/keras-team/keras/commit/10b51ce5a5054eb9bcddfab405ac9075fb1f1ca7
keras-team/keras,18f79d69c9443b21ac4ac902a5f808237708cdde,utsab345,2025-10-24 20:39:53+00:00,"Fix negative index handling in MultiHeadAttention attention_axes (#21721)

* Simplify save_img: remove _format, normalize jpg→jpeg, add RGBA→RGB handling and tests

* Fix negative index handling in MultiHeadAttention attention_axes

* Fix negative index handling in MultiHeadAttention attention_axes

* Fix negative index handling in MultiHeadAttention attention_axes

* Fix negative index handling in MultiHeadAttention attention_axes

* Fix negative index handling in MultiHeadAttention attention_axes",35,1,36,https://github.com/keras-team/keras/commit/18f79d69c9443b21ac4ac902a5f808237708cdde
keras-team/keras,18e0364cbcd1bfe26e43a4986df59bbf758e94a8,danielenricocahall,2025-10-24 18:28:16+00:00,"Support for extracting volume patches (#21759)

* support for volume patching

* correct `call`

* fix pydoc

* fix `test_extract_volume_patches_basic` casting residual

* fix `test_extract_volume_patches_same_padding` casting

* fix `test_extract_volume_patches_overlapping` casting

* add extra testing

* Update keras/src/ops/image.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* fix dimension orderiing

* Update keras/src/ops/image.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* fix dimensional ordering + add test

* fix docstring

* docstring corrections

* add validation checks for operation

* comment

* set default data format in tests, add a few parametrized tests to validate channels_first

* add back test for channels first/last in dilation

* fix dilation test

* Update keras/src/ops/image.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* delete redundant prop set

* Update keras/src/ops/image_test.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* Update keras/src/ops/image_test.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* rename per francois feedback

* fix pydoc to reflect method

* fix name of operation + test

---------

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>",402,0,402,https://github.com/keras-team/keras/commit/18e0364cbcd1bfe26e43a4986df59bbf758e94a8
keras-team/keras,dc5e42cca4fc966916552154d2edfb9f9aef3fcf,danielenricocahall,2025-10-24 18:26:56+00:00,fix sas metrics in jax `fit` (#21765),20,0,20,https://github.com/keras-team/keras/commit/dc5e42cca4fc966916552154d2edfb9f9aef3fcf
keras-team/keras,1ba3b8f896fbbba30bdcff65483b1dafa356c604,danielenricocahall,2025-10-24 18:24:16+00:00,"Fix discretization discrepancy (#21769)

* fix discretization discrepancy

* fix resolutoin of output type and update test

* fix dtype comparison for torch

* remove duplicate assert",32,5,37,https://github.com/keras-team/keras/commit/1ba3b8f896fbbba30bdcff65483b1dafa356c604
keras-team/keras,53987a768def7fb4d6222d5da25484ea4ed76360,hertschuh,2025-10-24 02:14:36+00:00,"Document that `set_backend` requires re-importing keras. (#21764)

Both in the example and the documentation.",6,1,7,https://github.com/keras-team/keras/commit/53987a768def7fb4d6222d5da25484ea4ed76360
keras-team/keras,a4c985081343b2c1deaeb3274550daf951ae44b6,divyashreepathihalli,2025-10-24 00:01:25+00:00,"cleanup distillation  loss names (#21766)

* cleanup distillation api names

* Update keras/src/distillation/distillation_loss.py

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>

* code reformat

* update docstring

---------

Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>",162,123,285,https://github.com/keras-team/keras/commit/a4c985081343b2c1deaeb3274550daf951ae44b6
keras-team/keras,fb2f025be739190579b2ef4f247d93daf52e98a4,JyotinderSingh,2025-10-23 21:10:48+00:00,removes unnecessary try-catch blocks and guard conditions (#21767),7,20,27,https://github.com/keras-team/keras/commit/fb2f025be739190579b2ef4f247d93daf52e98a4
keras-team/keras,465a56d7f1284f9b0d18ead3d6f87afcd3db1017,divyashreepathihalli,2025-10-23 00:10:47+00:00,"Add Distillation API to Keras (#21572)

* initial code dump

* clean up the implementation of the distillation api

* code reformat

* final clean up

* pre commit

* address gemini review comments

* address gemini review comments

* add a way to save trained student model

* disable tests in numpy and openvino backends

* pre commit

* address comments

* address comments

* run pre-commit

* update distiller and strategies

* code reformat

* clean up

* code reformat

* remove multi output distiilation

* clean up after merge

* address comments

* update file names

* subclass logits distillation loss from feature distillation loss

* update docstrings

* add validation for feature extraction setup

* Fix distiller API to accept single strategy or list of strategies

* minor fixes

* fix tests

* address reveiw comments

* oh

* address review comments

* address review comments

* address review comments

* code reformat

* address gemini review comments

* address gemini comments

* address review comments",1744,0,1744,https://github.com/keras-team/keras/commit/465a56d7f1284f9b0d18ead3d6f87afcd3db1017
keras-team/keras,47fcb397ee4caffd5a75efd1fa3067559594e951,hertschuh,2025-10-21 05:42:17+00:00,"Use `filter=""data""` option of `TarFile.extractall`. (#21760)

For Python versions between 3.12 (inclusive) and 3.14 (exclusive).

The ""data"" filter performs a number of additional checks on links and paths. The `filter` option was added in Python 3.12. The `filter=""data""` option became the default in Python 3.14.

Also:
- added similar path filtering when extracting zip archives
- shared the extraction code between `file_utils` and `saving_lib`",54,16,70,https://github.com/keras-team/keras/commit/47fcb397ee4caffd5a75efd1fa3067559594e951
